ann_term	CC	annotation
PF03275	2.65671462426156e-09	UDP-galactopyranose mutase
PF06672	5.44899193112942e-09	Protein of unknown function (DUF1175)
PF05433	2.1465089836809e-07	Glycine zipper 2TM domain
PF04313	2.3605515646596e-07	Type I restriction enzyme R protein N terminus (HSDR_N)
PF01520	3.6464559562603e-07	N-acetylmuramoyl-L-alanine amidase
PF13450	1.17805655688809e-06	NAD(P)-binding Rossmann-like domain
PF01297	1.24207687420822e-06	Zinc-uptake complex component A periplasmic
PF01863	1.68329722246139e-06	Protein of unknown function DUF45
PF00857	2.68719341064281e-06	Isochorismatase family
PF00449	2.78890346435138e-06	Urease alpha-subunit, N-terminal domain
PF00547	2.78890346435138e-06	Urease, gamma subunit
PF00699	2.78890346435138e-06	Urease beta subunit
PF01730	2.78890346435138e-06	UreF
PF02814	2.78890346435138e-06	UreE urease accessory protein, N-terminal domain
PF05194	2.78890346435138e-06	UreE urease accessory protein, C-terminal domain
PF03358	3.12303780835032e-06	NADPH-dependent FMN reductase
PF13489	3.54287457634716e-06	Methyltransferase domain
PF12008	6.79016488456725e-06	Type I restriction and modification enzyme - subunit R C terminal
PF12500	7.03397330479693e-06	TRSP domain C terminus to PRTase_2
PF15609	7.03397330479693e-06	Phosphoribosyl transferase
PF15617	7.03397330479693e-06	C-C_Bond_Lyase of the TIM-Barrel fold
PF15632	7.03397330479693e-06	ATP-grasp in the biosynthetic pathway with Ter operon
PF01906	7.19462457817058e-06	Putative heavy-metal-binding
PF03243	7.19462457817058e-06	Alkylmercury lyase
PF04346	7.19462457817058e-06	Ethanolamine utilisation protein, EutH
PF04465	7.19462457817058e-06	Protein of unknown function (DUF499)
PF06443	7.19462457817058e-06	SEF14-like adhesin
PF06634	7.19462457817058e-06	Protein of unknown function (DUF1156)
PF08406	7.19462457817058e-06	CbbQ/NirQ/NorQ C-terminal
PF09075	7.19462457817058e-06	Heat-stable enterotoxin B, secretory
PF09957	7.19462457817058e-06	Bacterial antitoxin of type II TA system, VapB
PF10706	7.19462457817058e-06	Aminoglycoside-2''-adenylyltransferase
PF11140	7.19462457817058e-06	Protein of unknown function (DUF2913)
PF12324	7.19462457817058e-06	Helix-turn-helix domain of alkylmercury lyase
PF12635	7.19462457817058e-06	Protein of unknown function (DUF3780)
PF13023	7.19462457817058e-06	HD domain
PF13290	7.19462457817058e-06	Chitobiase/beta-hexosaminidase C-terminal domain
PF14267	7.19462457817058e-06	Domain of unknown function (DUF4357)
PF00950	8.82627752599354e-06	ABC 3 transport family
PF01219	9.17698822900114e-06	Prokaryotic diacylglycerol kinase
PF03433	9.31470343188637e-06	EspA-like secreted protein
PF05802	9.31470343188637e-06	Enterobacterial EspB protein
PF06287	9.31470343188637e-06	Protein of unknown function (DUF1039)
PF09621	9.31470343188637e-06	Type III secretion system regulator (LcrR)
PF16693	9.31470343188637e-06	Inner membrane component of T3SS, periplasmic domain
PF10754	1.10900605315411e-05	Protein of unknown function (DUF2569)
PF02600	1.18401535488074e-05	Disulfide bond formation protein DsbB
PF14464	1.27541187635375e-05	Prokaryotic homologs of the JAB domain
PF12844	1.31664242440139e-05	Helix-turn-helix domain
PF01061	2.03090092351153e-05	ABC-2 type transporter
PF02613	2.12910100280248e-05	Nitrate reductase delta subunit
PF06406	2.18773910563535e-05	StbA protein
PF00478	2.39066431082592e-05	IMP dehydrogenase / GMP reductase domain
PF02540	2.39066431082592e-05	NAD synthase
PF00958	2.39066431082593e-05	GMP synthase C terminal domain
PF06316	2.49777727423547e-05	Enterobacterial Ail/Lom protein
PF03143	2.65005561937055e-05	Elongation factor Tu C-terminal domain
PF13420	3.33353173134638e-05	Acetyltransferase (GNAT) domain
PF14524	3.41992168304919e-05	Wzt C-terminal domain
PF00390	3.52809271883508e-05	Malic enzyme, N-terminal domain
PF03949	3.52809271883508e-05	Malic enzyme, NAD binding domain
PF02275	3.5280927188351e-05	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02432	3.5280927188351e-05	Fimbrial, major and minor subunit
PF17547	3.5280927188351e-05	Family of unknown function (DUF5462)
PF10784	4.33842156351882e-05	Plasmid stability protein
PF01479	5.04773575544142e-05	S4 domain
PF00165	5.99353419899794e-05	Bacterial regulatory helix-turn-helix proteins, AraC family
PF13195	5.99353419899794e-05	Protein of unknown function (DUF4011)
PF00263	6.1379620974979e-05	Bacterial type II and III secretion system protein
PF11202	6.14121338222442e-05	Phosphoribosyl transferase (PRTase)
PF03401	7.1401388116722e-05	Tripartite tricarboxylate transporter family receptor
PF07331	7.1401388116722e-05	Tripartite tricarboxylate transporter TctB family
PF01970	7.66193316353326e-05	Tripartite tricarboxylate transporter TctA family
PF00881	9.02475136242748e-05	Nitroreductase family
PF10979	9.1439810181944e-05	Protein of unknown function (DUF2786)
PF05717	9.53591727391301e-05	IS66 Orf2 like protein
PF06805	9.6372626276518e-05	Bacteriophage lambda tail assembly protein I
PF01661	0.00010230107045015	Macro domain
PF01148	0.000109157441312283	Cytidylyltransferase family
PF11975	0.000109182933406657	Family 4 glycosyl hydrolase C-terminal domain
PF12793	0.000110151710356387	Sugar transport-related sRNA regulator N-term
PF15608	0.000121993051953119	PELOTA RNA binding domain
PF00571	0.000126423617838515	CBS domain
PF06523	0.000126819715943353	Protein of unknown function (DUF1106)
PF13817	0.000127420819223288	IS66 C-terminal element
PF03264	0.000128615162973885	NapC/NirT cytochrome c family, N-terminal region
PF03549	0.000133404290147821	Translocated intimin receptor (Tir) intimin-binding domain
PF05932	0.000133404290147821	Tir chaperone protein (CesT) family
PF06066	0.000133404290147821	SepZ
PF06622	0.000133404290147821	SepQ protein
PF07489	0.000133404290147821	Translocated intimin receptor (Tir) C-terminus
PF07490	0.000133404290147821	Translocated intimin receptor (Tir) N-terminus
PF08988	0.000133404290147821	Type III secretion system, cytoplasmic E component of needle
PF11439	0.000133404290147821	Type III secretion system filament chaperone CesA
PF13327	0.000133404290147821	Type III secretion system subunit
PF16518	0.000133404290147821	T3SS negative regulator,GrlR
PF07511	0.000137353281045375	Protein of unknown function (DUF1525)
PF09686	0.000137353281045375	Plasmid protein of unknown function (Plasmid_RAQPRD)
PF11190	0.000137353281045375	Protein of unknown function (DUF2976)
PF11444	0.000137353281045375	Protein of unknown function (DUF2895)
PF11660	0.000137353281045375	Protein of unknown function (DUF3262)
PF11920	0.000137353281045375	Protein of unknown function (DUF3438)
PF11990	0.000137353281045375	Protein of unknown function (DUF3487)
PF12101	0.000137353281045375	Protein of unknown function (DUF3577)
PF00899	0.000140965779360232	ThiF family
PF02342	0.000143081130746155	TerD domain
PF17358	0.000163986297673582	Family of unknown function (DUF5384)
PF14348	0.000189603533584623	Domain of unknown function (DUF4400)
PF01774	0.000191580097476739	UreD urease accessory protein
