Feature	Pfam
0	PF13752
1	PF13750
2	PF12245
3	PF13610
4	PF06586
5	PF05175
6	PF13708
7	PF02342
8	PF12245
9	PF13750
10	PF01343
11	PF03743
12	PF01464
13	PF01636
14	PF02342
15	PF10138
16	PF13610
17	PF13610
18	PF12500
19	PF15609
20	PF00069
21	PF00092
22	PF15616
23	PF00565
24	PF01848
25	PF00816
26	PF06406
27	PF13361
28	PF00580
29	PF11202
30	PF15608
31	PF08378
32	PF00717
33	PF00903
34	PF07514
35	PF00092
36	PF00092
37	PF08019
38	PF00884
39	PF00092
40	PF09676
41	PF00589
42	PF10502
43	PF02878
44	PF01323
45	PF00809
46	PF07690
47	PF14348
48	PF01381
49	PF15617
50	PF00149
51	PF13614
52	PF13391
53	PF15632
54	PF02342
55	PF13098
56	PF10411
57	PF05099
58	PF02342
59	PF04986
60	PF14319
61	PF00665
62	PF13936
63	PF11284
64	PF01507
65	PF02796
66	PF00239
67	PF13354
68	PF13361
69	PF13245
70	PF02086
71	PF02332
72	PF08536
73	PF17438
74	PF13750
75	PF12245
76	PF13438
77	PF00817
78	PF11799
79	PF11130
80	PF15941
81	PF05321
82	PF06666
83	PF11348
84	PF02195
85	PF08775
86	PF07728
87	PF01051
88	PF05175
89	PF14338
90	PF01555
91	PF02342
92	PF00486
93	PF00126
94	PF06986
95	PF06986
96	PF05015
97	PF05309
98	PF13672
99	PF01569
100	PF09673
101	PF13708
102	PF07178
103	PF00145
104	PF13610
105	PF07916
106	PF07916
107	PF02522
108	PF13728
109	PF01526
110	PF13700
111	PF14020
112	PF02342
113	PF12846
114	PF10412
115	PF13362
116	PF03741
117	PF13391
118	PF06122
119	PF07804
120	PF13657
121	PF13610
122	PF06834
123	PF06117
124	PF11843
125	PF06290
126	PF00436
127	PF06924
128	PF00589
129	PF13701
130	PF13438
131	PF11799
132	PF00817
133	PF13098
134	PF02195
135	PF13708
136	PF16932
137	PF03432
138	PF06006
139	PF09140
140	PF13646
141	PF04352
142	PF16816
143	PF11393
144	PF06952
145	PF00263
146	PF07655
147	PF13354
148	PF10784
149	PF06183
150	PF00300
151	PF01848
152	PF10554
153	PF00437
154	PF07128
155	PF02357
156	PF07275
157	PF00717
158	PF01464
159	PF06406
160	PF03230
161	PF01555
162	PF13729
163	PF00437
164	PF10623
165	PF08805
166	PF07419
167	PF02387
168	PF12293
169	PF00482
170	PF00482
171	PF10671
172	PF06864
173	PF04754
174	PF01478
175	PF07128
176	PF02452
177	PF11412
178	PF05857
179	PF00239
180	PF02796
181	PF00565
182	PF12602
183	PF04352
184	PF06406
185	PF03230
186	PF00561
187	PF05321
188	PF01636
189	PF07057
190	PF13604
191	PF08751
192	PF08048
193	PF01258
194	PF07178
195	PF00665
196	PF13936
197	PF09676
198	PF13655
199	PF01844
200	PF08388
201	PF00078
202	PF05309
203	PF03743
204	PF02948
205	PF10412
206	PF12615
207	PF00753
208	PF05513
209	PF07128
210	PF12083
211	PF05175
212	PF05261
213	PF06006
214	PF01555
215	PF01555
216	PF01848
217	PF09673
218	PF13610
219	PF06067
220	PF00697
221	PF06290
222	PF07916
223	PF00436
224	PF06834
225	PF03400
226	PF07128
227	PF11130
228	PF07296
229	PF10894
230	PF06586
231	PF02517
232	PF10784
233	PF10723
234	PF13728
235	PF09677
236	PF05818
237	PF01464
238	PF06952
239	PF06122
240	PF12477
241	PF05509
242	PF09679
243	PF10881
244	PF10624
245	PF02387
246	PF07339
247	PF00496
248	PF07729
249	PF00392
250	PF00203
251	PF13500
252	PF01515
253	PF07085
254	PF01018
255	PF01926
256	PF03401
257	PF01230
258	PF00908
259	PF02653
260	PF00534
261	PF10590
262	PF01243
263	PF00072
264	PF04397
265	PF00535
266	PF13353
267	PF08335
268	PF08335
269	PF03710
270	PF03710
271	PF02769
272	PF02769
273	PF13507
274	PF00009
275	PF03144
276	PF00679
277	PF00480
278	PF09339
279	PF01614
280	PF06007
281	PF00012
282	PF00012
283	PF16461
284	PF02368
285	PF00463
286	PF00463
287	PF13416
288	PF01568
289	PF00384
290	PF00497
291	PF02311
292	PF12833
293	PF13354
294	PF01695
295	PF11808
296	PF00989
297	PF00512
298	PF02518
299	PF02826
300	PF00389
301	PF03319
302	PF03401
303	PF01042
304	PF04751
305	PF01077
306	PF03460
307	PF07992
308	PF04324
309	PF02347
310	PF02347
311	PF00224
312	PF02887
313	PF02348
314	PF12390
315	PF03841
316	PF12792
317	PF00563
318	PF01590
319	PF00158
320	PF00753
321	PF00419
322	PF00486
323	PF00072
324	PF01545
325	PF16916
326	PF00549
327	PF08442
328	PF13247
329	PF00037
330	PF01336
331	PF00152
332	PF02447
333	PF00126
334	PF03466
335	PF00293
336	PF01232
337	PF08125
338	PF00202
339	PF00512
340	PF16527
341	PF00672
342	PF02518
343	PF02678
344	PF01565
345	PF02873
346	PF01225
347	PF08245
348	PF02875
349	PF02954
350	PF00072
351	PF00158
352	PF13347
353	PF08755
354	PF01228
355	PF08659
356	PF00668
357	PF02801
358	PF00975
359	PF00109
360	PF00698
361	PF16197
362	PF08242
363	PF08242
364	PF00550
365	PF00550
366	PF01740
367	PF00916
368	PF05762
369	PF02378
370	PF00367
371	PF00370
372	PF02782
373	PF13247
374	PF12800
375	PF05728
376	PF00486
377	PF00072
378	PF13591
379	PF14691
380	PF13247
381	PF07992
382	PF00665
383	PF02796
384	PF01012
385	PF00817
386	PF11799
387	PF13438
388	PF11798
389	PF00345
390	PF02753
391	PF03471
392	PF03741
393	PF08461
394	PF00575
395	PF00773
396	PF08206
397	PF08206
398	PF13407
399	PF01418
400	PF01380
401	PF00543
402	PF02302
403	PF01885
404	PF14711
405	PF13247
406	PF00072
407	PF00486
408	PF00456
409	PF02779
410	PF02780
411	PF10431
412	PF00004
413	PF07724
414	PF07690
415	PF04055
416	PF06969
417	PF03692
418	PF03502
419	PF03840
420	PF02302
421	PF12464
422	PF00132
423	PF14602
424	PF00456
425	PF00072
426	PF00486
427	PF06940
428	PF01588
429	PF09334
430	PF00483
431	PF00576
432	PF05958
433	PF01938
434	PF00196
435	PF01204
436	PF01168
437	PF00842
438	PF02776
439	PF02775
440	PF16582
441	PF00107
442	PF08240
443	PF03461
444	PF02559
445	PF00270
446	PF00271
447	PF00528
448	PF01016
449	PF05362
450	PF02190
451	PF00004
452	PF01323
453	PF17291
454	PF13402
455	PF13322
456	PF02899
457	PF00589
458	PF07992
459	PF02852
460	PF03602
461	PF13437
462	PF13533
463	PF07690
464	PF00313
465	PF01842
466	PF00696
467	PF00118
468	PF00155
469	PF00005
470	PF13673
471	PF02881
472	PF00448
473	PF01177
474	PF12421
475	PF13550
476	PF09327
477	PF06071
478	PF01926
479	PF12833
480	PF08240
481	PF00107
482	PF00155
483	PF00376
484	PF09278
485	PF02753
486	PF00345
487	PF01569
488	PF03613
489	PF01370
490	PF00551
491	PF02911
492	PF00501
493	PF13193
494	PF16177
495	PF00749
496	PF01170
497	PF02926
498	PF10672
499	PF00005
500	PF08402
501	PF00107
502	PF08240
503	PF13241
504	PF00590
505	PF10414
506	PF14824
507	PF00344
508	PF14812
509	PF00905
510	PF00912
511	PF14814
512	PF02882
513	PF00763
514	PF00343
515	PF13353
516	PF04055
517	PF02875
518	PF08245
519	PF00166
520	PF02746
521	PF13378
522	PF00950
523	PF00181
524	PF03947
525	PF00196
526	PF00072
527	PF00330
528	PF00270
529	PF00271
530	PF00005
531	PF08352
532	PF07690
533	PF01050
534	PF00483
535	PF01592
536	PF00005
537	PF01336
538	PF00152
539	PF06827
540	PF06831
541	PF01149
542	PF00384
543	PF01568
544	PF04879
545	PF01311
546	PF01288
547	PF00035
548	PF14622
549	PF00189
550	PF07650
551	PF14842
552	PF01706
553	PF14841
554	PF02253
555	PF00994
556	PF01695
557	PF01551
558	PF01476
559	PF00043
560	PF13409
561	PF00455
562	PF08220
563	PF09261
564	PF07748
565	PF01074
566	PF09285
567	PF01132
568	PF08207
569	PF13847
570	PF13802
571	PF01055
572	PF00196
