ann_term	CC	annotation
PF00959	0.732325363338022	Phage lysozyme
PF06316	0.703688606896519	Enterobacterial Ail/Lom protein
PF00589	0.700375058602907	Phage integrase family
PF04448	0.699435675874563	Protein of unknown function (DUF551)
PF05939	0.697931848329014	Phage minor tail protein
PF09327	0.694789701182256	Domain of unknown function (DUF1983)
PF05100	0.682783885218527	Phage minor tail protein L
PF14464	0.671791164756412	Prokaryotic homologs of the JAB domain
PF04971	0.670534458509142	Bacteriophage P21 holin S
PF01391	0.669279901688616	Collagen triple helix repeat (20 copies)
PF01381	0.668330989217065	Helix-turn-helix
PF06805	0.661436793088554	Bacteriophage lambda tail assembly protein I
PF05696	0.660574426728102	Protein of unknown function (DUF826)
PF01848	0.660548523206751	Hok/gef family
PF00877	0.660196905766526	NlpC/P60 family
PF07125	0.659987640650617	Protein of unknown function (DUF1378)
PF06147	0.659053639602717	Protein of unknown function (DUF968)
PF05766	0.651449903223219	Bacteriophage Lambda NinG protein
PF03245	0.646464593755566	Bacteriophage Rz lysis protein
PF13935	0.640835422803114	Ead/Ea22-like protein
PF08400	0.64069318276756	Prophage tail fibre N-terminal
PF08410	0.64031727026609	Domain of unknown function (DUF1737)
PF06069	0.637831238727487	PerC transcriptional activator
PF13550	0.637222751590544	Putative phage tail protein
PF09718	0.632454617535198	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF06416	0.628535241910588	Effector protein NleG
PF06820	0.627054958451165	Putative prophage tail fibre C-terminus
PF05866	0.622882225058897	Endodeoxyribonuclease RusA
PF03278	0.622166580515394	IpaB/EvcA family
PF05136	0.62051545333204	Phage portal protein, lambda family
PF05876	0.620350241116544	Phage terminase large subunit (GpA)
PF12421	0.614120949736565	Fibronectin type III protein
PF13895	0.604159500219458	Immunoglobulin domain
PF07979	0.599652501853464	Intimin C-type lectin domain
PF13979	0.598264863064004	SopA-like catalytic domain
PF03433	0.598103368000579	EspA-like secreted protein
PF03549	0.598103368000579	Translocated intimin receptor (Tir) intimin-binding domain
PF05802	0.598103368000579	Enterobacterial EspB protein
PF05932	0.598103368000579	Tir chaperone protein (CesT) family
PF06066	0.598103368000579	SepZ
PF06287	0.598103368000579	Protein of unknown function (DUF1039)
PF06622	0.598103368000579	SepQ protein
PF07489	0.598103368000579	Translocated intimin receptor (Tir) C-terminus
PF07490	0.598103368000579	Translocated intimin receptor (Tir) N-terminus
PF08988	0.598103368000579	Type III secretion system, cytoplasmic E component of needle
PF09621	0.598103368000579	Type III secretion system regulator (LcrR)
PF11439	0.598103368000579	Type III secretion system filament chaperone CesA
PF13327	0.598103368000579	Type III secretion system subunit
PF16693	0.598103368000579	Inner membrane component of T3SS, periplasmic domain
PF06872	0.597173887688847	EspG protein
PF00161	0.595876311524491	Ribosome inactivating protein
PF02258	0.595876311524491	Shiga-like toxin beta subunit
PF10549	0.594295440332986	ORF11CD3 domain
PF00449	0.589750713528002	Urease alpha-subunit, N-terminal domain
PF00547	0.589750713528002	Urease, gamma subunit
PF00699	0.589750713528002	Urease beta subunit
PF01730	0.589750713528002	UreF
PF02814	0.589750713528002	UreE urease accessory protein, N-terminal domain
PF05194	0.589750713528002	UreE urease accessory protein, C-terminal domain
PF04806	0.589725520746267	EspF protein repeat
PF01774	0.589476629409379	UreD urease accessory protein
PF06523	0.588743565703824	Protein of unknown function (DUF1106)
PF06223	0.586259766196179	Minor tail protein T
PF13678	0.584301086296908	NFkB-p65-degrading zinc protease
PF10547	0.584133185687278	P22_AR N-terminal domain
PF04888	0.581370736899129	Secretion system effector C (SseC) like family
PF06894	0.579103246267027	Bacteriophage lambda tail assembly chaperone, TAC, protein G
PF07041	0.577937841306467	Protein of unknown function (DUF1327)
PF16461	0.574785870309768	Lambda phage tail tube protein, TTP
PF09982	0.573887595250978	Uncharacterized protein conserved in bacteria (DUF2219)
PF02831	0.568028238376666	gpW
PF06163	0.567230462384564	Bacterial protein of unknown function (DUF977)
PF05521	0.566965487205021	Phage head-tail joining protein
