ann_term	CC	annotation
PF00959	9.93163338471985e-13	Phage lysozyme
PF05521	9.84150009479195e-10	Phage head-tail joining protein
PF05939	1.41144684208789e-09	Phage minor tail protein
PF04883	1.78009243943524e-09	Bacteriophage HK97-gp10, putative tail-component
PF04971	1.9754550963096e-09	Bacteriophage P21 holin S
PF03275	2.65671462426154e-09	UDP-galactopyranose mutase
PF06163	2.95141207237399e-09	Bacterial protein of unknown function (DUF977)
PF11367	3.39484941769257e-09	Protein of unknown function (DUF3168)
PF05135	1.88018825575467e-08	Phage gp6-like head-tail connector protein
PF03245	2.01664937438518e-08	Bacteriophage Rz lysis protein
PF06316	2.50293871029076e-08	Enterobacterial Ail/Lom protein
PF05100	3.08472331581399e-08	Phage minor tail protein L
PF06222	3.11574872837663e-08	Phage tail assembly chaperone
PF00589	4.02454739501831e-08	Phage integrase family
PF04448	4.58674050655428e-08	Protein of unknown function (DUF551)
PF13227	5.4220776133107e-08	Protein of unknown function (DUF4035)
PF04586	5.52346067193075e-08	Caudovirus prohead serine protease
PF05065	1.05473153578228e-07	Phage capsid family
PF03354	1.18215619019033e-07	Phage Terminase
PF01863	1.96515729692233e-07	Protein of unknown function DUF45
PF06254	2.596634214355e-07	Putative bacterial toxin ydaT
PF00877	2.65799970914933e-07	NlpC/P60 family
PF01381	2.71044203969852e-07	Helix-turn-helix
PF14464	3.25485954083302e-07	Prokaryotic homologs of the JAB domain
PF04313	3.56287804874281e-07	Type I restriction enzyme R protein N terminus (HSDR_N)
PF01520	3.64645595626034e-07	N-acetylmuramoyl-L-alanine amidase
PF12167	3.75165684167303e-07	Arm DNA-binding domain
PF00857	4.05070704259011e-07	Isochorismatase family
PF05866	5.81277663257784e-07	Endodeoxyribonuclease RusA
PF03358	6.07421792695242e-07	NADPH-dependent FMN reductase
PF09327	7.08882634143531e-07	Domain of unknown function (DUF1983)
PF15943	7.35159822343848e-07	Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT
PF00717	9.2181923592904e-07	Peptidase S24-like
PF13450	1.17805655688809e-06	NAD(P)-binding Rossmann-like domain
PF04984	1.18997753507057e-06	Phage tail sheath protein subtilisin-like domain
PF17482	1.18997753507057e-06	Phage tail sheath C-terminal domain
PF08400	1.31644402058397e-06	Prophage tail fibre N-terminal
PF06147	1.35176991077583e-06	Protein of unknown function (DUF968)
PF01061	1.70232219178904e-06	ABC-2 type transporter
PF13102	1.77047643755034e-06	Phage integrase SAM-like domain
PF04860	2.16962424636978e-06	Phage portal protein
PF13935	2.18157475463576e-06	Ead/Ea22-like protein
