ann_term	CC	annotation
PF01453	0.500394460292414	D-mannose binding lectin
PF16884	0.448019368267465	N-terminal domain of oxidoreductase
PF00248	0.438110567073556	Aldo/keto reductase family
PF13561	0.433863937990452	Enoyl-(Acyl carrier protein) reductase
PF00954	0.425370679824244	S-locus glycoprotein domain
PF08276	0.412630792574932	PAN-like domain
PF13905	0.40979970651953	Thioredoxin-like
PF08263	0.406968620464127	Leucine rich repeat N-terminal domain
PF05691	0.404137534408725	Raffinose synthase or seed imbibition protein Sip1
PF14476	0.401727767575241	Petal formation-expressed
PF14576	0.401291881362867	Sieve element occlusion N-terminus
PF11721	0.399890905325621	Malectin domain
PF00704	0.389982104131711	Glycosyl hydrolases family 18
PF14577	0.389907714515693	Sieve element occlusion C-terminus
PF00689	0.385735475048608	Cation transporting ATPase, C-terminus
PF13855	0.385735475048608	Leucine rich repeat
PF00107	0.384319932020906	Zinc-binding dehydrogenase
PF01061	0.370164501743893	ABC-2 type transporter
PF05368	0.36733341568849	NmrA-like family
PF13602	0.365917872660789	Zinc-binding dehydrogenase
PF00690	0.365337774669855	Cation transporter/ATPase, N-terminus
PF02798	0.357424614494581	Glutathione S-transferase, N-terminal domain
PF00405	0.35094357938795	Transferrin
PF01221	0.348931356328373	Dynein light chain type 1
PF03492	0.347515813300672	SAM dependent carboxyl methyltransferase
PF08240	0.344684727245269	Alcohol dehydrogenase GroES-like domain
PF13091	0.343269184217568	PLD-like domain
PF00909	0.340438098162166	Ammonium Transporter Family
PF11883	0.340438098162166	Domain of unknown function (DUF3403)
PF00182	0.337607012106763	Chitinase class I
PF18317	0.336191469079062	Shikimate 5'-dehydrogenase C-terminal domain
PF08370	0.33477592605136	Plant PDR ABC transporter associated
PF00122	0.331944839995958	E1-E2 ATPase
PF01814	0.331944839995958	Hemerythrin HHE cation binding domain
PF14380	0.329113753940555	Wall-associated receptor kinase C-terminal
PF07258	0.32870345218816	COMM domain
PF00560	0.326282667885152	Leucine Rich Repeat
PF00201	0.324867124857451	UDP-glucoronosyl and UDP-glucosyl transferase
PF02536	0.324867124857451	mTERF
PF03467	0.324867124857451	Smg-4/UPF3 family
PF01494	0.32345158182975	FAD binding domain
PF16499	0.32144060019402	Alpha galactosidase A
PF00011	0.320620495774347	Hsp20/alpha crystallin family
PF14226	0.320620495774347	non-haem dioxygenase in morphine synthesis N-terminal
PF03140	0.319204952746646	Plant protein of unknown function
PF13637	0.316373866691243	Ankyrin repeats (many copies)
PF00043	0.314958323663542	Glutathione S-transferase, C-terminal domain
PF00702	0.313542780635841	haloacid dehalogenase-like hydrolase
PF03255	0.312303930712395	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF12202	0.312127237608139	Oxidative-stress-responsive kinase 1 C-terminal domain
PF17048	0.311528334989799	Neutral/alkaline non-lysosomal ceramidase, C-terminal
PF05686	0.310711694580438	Glycosyl transferase family 90
PF08501	0.307880608525035	Shikimate dehydrogenase substrate binding domain
PF14510	0.306465065497334	ABC-transporter N-terminal
PF12796	0.305049522469633	Ankyrin repeats (3 copies)
PF17801	0.305049522469633	Alpha galactosidase C-terminal beta sandwich domain
PF08100	0.303633979441931	Dimerisation domain
PF03552	0.30221843641423	Cellulose synthase
PF04863	0.301435497436238	Alliinase EGF-like domain
PF02458	0.300802893386529	Transferase family
PF02668	0.300802893386529	Taurine catabolism dioxygenase TauD, TfdA family
PF01094	0.299387350358827	Receptor family ligand binding region
PF05183	0.299387350358827	RNA dependent RNA polymerase
PF16916	0.297367956126626	Dimerisation domain of Zinc Transporter
PF00060	0.296556264303425	Ligand-gated ion channel
PF10442	0.293139426468154	FIST C domain
PF00067	0.292309635220321	Cytochrome P450
PF02153	0.292309635220321	Prephenate dehydrogenase
PF13668	0.29028776669504	Ferritin-like domain
PF05834	0.288063006137217	Lycopene cyclase protein
PF01476	0.286647463109516	LysM domain
PF05634	0.286647463109516	APO RNA-binding
PF04511	0.283816377054113	Der1-like family
PF13962	0.283816377054113	Domain of unknown function
PF02833	0.280562031934902	DHHA2 domain
PF04145	0.278154204943308	Ctr copper transporter family
PF08245	0.276738661915606	Mur ligase middle domain
PF16759	0.275324343870874	DNA ligase 3 BRCT domain
PF02727	0.275323118887905	Copper amine oxidase, N2 domain
PF08787	0.274337678964404	Alginate lyase
PF03171	0.273907575860204	2OG-Fe(II) oxygenase superfamily
PF01545	0.268245403749399	Cation efflux family
PF02212	0.266829860721697	Dynamin GTPase effector domain
PF07714	0.266829860721697	Protein tyrosine and serine/threonine kinase
PF03094	0.262583231638593	Mlo family
PF07107	0.262583231638593	Wound-induced protein WI12
PF01554	0.261167688610892	MatE
PF01734	0.261167688610892	Patatin-like phospholipase
PF13516	0.259752145583191	Leucine Rich repeat
PF00891	0.258336602555489	O-methyltransferase domain
PF19160	0.257718895309743	SPARK
PF16041	0.256402974537299	Domain of unknown function (DUF4793)
PF01225	0.255898115313198	Mur ligase family, catalytic domain
PF04734	0.254886819537108	Neutral/alkaline non-lysosomal ceramidase, N-terminal
PF00431	0.254741015839714	CUB domain
PF00933	0.254089973472385	Glycosyl hydrolase family 3 N terminal domain
PF14363	0.254089973472385	Domain associated at C-terminal with AAA
PF04970	0.253470781650791	Lecithin retinol acyltransferase
PF01925	0.252674430444684	Sulfite exporter TauE/SafE
PF03936	0.252674430444684	Terpene synthase family, metal binding domain
PF10044	0.252556125555574	Retinal tissue protein
PF01770	0.251833240873588	Reduced folate carrier
PF19055	0.251258887416983	ABC-2 type transporter
PF01177	0.249037654851408	Asp/Glu/Hydantoin racemase
PF00967	0.248601587882562	Barwin family
PF11838	0.247012258333879	ERAP1-like C-terminal domain
PF01505	0.245610031189814	Major Vault Protein repeat domain
PF11187	0.245610031189814	Protein of unknown function (DUF2974)
PF12355	0.245610031189814	Down syndrome cell adhesion molecule C terminal
PF18311	0.245610031189814	Exosome complex exonuclease Rrp40 N-terminal domain
PF00082	0.245596715306178	Subtilase family
PF03070	0.245596715306178	TENA/THI-4/PQQC family
PF10333	0.244374253651665	GPI-Mannosyltransferase II co-activator
PF02873	0.241967739785233	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF01384	0.241350086223074	Phosphate transporter family
PF01643	0.239310402787618	Acyl-ACP thioesterase
PF13968	0.239310402787618	Domain of unknown function (DUF4220)
PF11416	0.239020617967088	Syntaxin-5 N-terminal, Sly1p-binding domain
PF08488	0.238149572735022	Wall-associated kinase
PF01487	0.23710345713997	Type I 3-dehydroquinase
PF01470	0.235687914112268	Pyroglutamyl peptidase
PF12973	0.235044358148682	ChrR Cupin-like domain
PF00497	0.234272371084567	Bacterial extracellular solute-binding proteins, family 3
PF00389	0.232856828056866	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF02342	0.232545667828654	TerD domain
PF12999	0.232230213356032	Glucosidase II beta subunit-like
PF00314	0.231441285029165	Thaumatin family
PF07885	0.230814175469715	Ion channel
PF00732	0.230025742001463	GMC oxidoreductase
PF01535	0.230025742001463	PPR repeat
PF07687	0.229398137583397	Peptidase dimerisation domain
PF07279	0.228141695166186	Protein of unknown function (DUF1442)
PF04107	0.22798209969708	Glutamate-cysteine ligase family 2(GCS2)
PF01393	0.22731992248419	Chromo shadow domain
PF01975	0.227194655946061	Survival protein SurE
PF03405	0.227194655946061	Fatty acid desaturase
PF11145	0.227194655946061	Protein of unknown function (DUF2921)
