ann_term	cv	annotation
PF00005	0.0532706171636627	ABC transporter
PF00006	0.159215924341392	ATP synthase alpha/beta family, nucleotide-binding domain
PF00009	0.0393528741674457	Elongation factor Tu GTP binding domain
PF00011	0.287575223450864	Hsp20/alpha crystallin family
PF00012	0.172295691590997	Hsp70 protein
PF00013	0.11042310999999	KH domain
PF00015	0.204174177453907	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00027	0.053037152278382	Cyclic nucleotide-binding domain
PF00034	0.198630855280358	Cytochrome c
PF00035	0.113218631772141	Double-stranded RNA binding motif
PF00037	0.298893277258934	4Fe-4S binding domain
PF00042	0.113218631772141	Globin
PF00043	0.045003516037041	Glutathione S-transferase, C-terminal domain
PF00044	0.0528100756936845	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00056	0.11042310999999	lactate/malate dehydrogenase, NAD binding domain
PF00069	1.73365787289568	Protein kinase domain
PF00072	0.0453164096180384	Response regulator receiver domain
PF00075	0.11042310999999	RNase H
PF00078	1.49578641535623	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00080	0.447685091250837	Copper/zinc superoxide dismutase (SODC)
PF00081	0	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	2.28453161780607	Subtilase family
PF00083	0.0885710595261161	Sugar (and other) transporter
PF00085	0.10828237326126	Thioredoxin
PF00089	0	Trypsin
PF00091	0	Tubulin/FtsZ family, GTPase domain
PF00092	0.633771362143034	von Willebrand factor type A domain
PF00106	0.15988197687108	short chain dehydrogenase
PF00107	0.0811196421755963	Zinc-binding dehydrogenase
PF00108	0.143966985722997	Thiolase, N-terminal domain
PF00109	0.5987807333008	Beta-ketoacyl synthase, N-terminal domain
PF00111	0.19418756703268	2Fe-2S iron-sulfur cluster binding domain
PF00113	0.208876197907786	Enolase, C-terminal TIM barrel domain
PF00115	0	Cytochrome C and Quinol oxidase polypeptide I
PF00116	0	Cytochrome C oxidase subunit II, periplasmic domain
