Feature	Pfam
0	PF00793
1	PF13328
2	PF02824
3	PF13291
4	PF04607
5	PF01182
6	PF00551
7	PF02911
8	PF01817
9	PF00800
10	PF09339
11	PF01614
12	PF10735
13	PF00595
14	PF02163
15	PF04055
16	PF00919
17	PF01938
18	PF00132
19	PF00132
20	PF00155
21	PF00392
22	PF00271
23	PF09382
24	PF00270
25	PF00570
26	PF16124
27	PF04073
28	PF09381
29	PF01118
30	PF02774
31	PF14842
32	PF01706
33	PF14841
34	PF13411
35	PF01116
36	PF01253
37	PF00294
38	PF13412
39	PF01799
40	PF01315
41	PF02738
42	PF08468
43	PF05175
44	PF00239
45	PF07508
46	PF13408
47	PF13177
48	PF09115
49	PF01863
50	PF00300
51	PF00440
52	PF00975
53	PF00668
54	PF00501
55	PF00550
56	PF13193
57	PF00664
58	PF00005
59	PF07282
60	PF12323
61	PF01385
62	PF02021
63	PF01848
64	PF00126
65	PF03466
66	PF00106
67	PF02656
68	PF07690
69	PF08402
70	PF00005
71	PF01926
72	PF00083
73	PF07731
74	PF07732
75	PF00394
76	PF16576
77	PF00529
78	PF01790
79	PF00375
80	PF00436
81	PF00512
82	PF02518
83	PF00672
84	PF00004
85	PF10431
86	PF02861
87	PF07724
88	PF04354
89	PF02049
90	PF00889
91	PF13407
92	PF13507
93	PF02769
94	PF02769
95	PF13742
96	PF02601
97	PF00198
98	PF02817
99	PF00364
100	PF00364
101	PF00364
102	PF03061
103	PF01554
104	PF01554
105	PF02302
106	PF00005
107	PF01128
108	PF00106
109	PF00171
110	PF02465
111	PF07195
112	PF07196
113	PF17042
114	PF07005
115	PF00572
116	PF08275
117	PF08278
118	PF01807
119	PF13155
120	PF10410
121	PF08534
122	PF08242
123	PF03461
124	PF00270
125	PF00271
126	PF02559
127	PF02222
128	PF02110
129	PF00311
130	PF04069
131	PF01053
132	PF00563
133	PF13426
134	PF13426
135	PF00990
136	PF04361
137	PF01040
138	PF16925
139	PF00440
140	PF00313
141	PF13627
142	PF00455
143	PF08220
144	PF06305
145	PF00367
146	PF00358
147	PF02378
148	PF08279
149	PF00874
150	PF00874
151	PF05043
152	PF02836
153	PF02837
154	PF00703
155	PF01311
156	PF06481
157	PF00116
158	PF02775
159	PF00205
160	PF02776
161	PF04055
162	PF13353
163	PF12710
164	PF00005
165	PF12399
166	PF04879
167	PF01568
168	PF00384
169	PF05247
170	PF00455
171	PF08220
172	PF02670
173	PF13288
174	PF08436
175	PF03279
176	PF00403
177	PF00403
178	PF00122
179	PF00702
180	PF00005
181	PF06325
182	PF02580
183	PF00267
184	PF00892
185	PF02518
186	PF00512
187	PF02743
188	PF00989
189	PF00512
190	PF11808
191	PF02518
192	PF00109
193	PF02801
194	PF00271
195	PF11898
196	PF00270
197	PF04408
198	PF07717
