Feature	Pfam
0	PF01297
1	PF05016
2	PF00950
3	PF02195
4	PF00436
5	PF01278
6	PF01609
7	PF16576
8	PF07715
9	PF00593
10	PF06722
11	PF00756
12	PF11130
13	PF01935
14	PF03797
15	PF02395
16	PF07690
17	PF06586
18	PF01850
19	PF01497
20	PF07128
21	PF05016
22	PF09676
23	PF03857
24	PF02195
25	PF13683
26	PF08048
27	PF00132
28	PF14602
29	PF05175
30	PF05509
31	PF05509
32	PF07715
33	PF00593
34	PF07057
35	PF13604
36	PF08751
37	PF00005
38	PF12704
39	PF02687
40	PF00005
41	PF14859
42	PF13166
43	PF03797
44	PF03212
45	PF12951
46	PF12951
47	PF01032
48	PF00664
49	PF00664
50	PF00005
51	PF00005
52	PF01041
53	PF01408
54	PF02894
55	PF09677
56	PF04183
57	PF06276
58	PF04014
59	PF01609
60	PF03412
61	PF06006
62	PF12477
63	PF01051
64	PF13728
65	PF10723
66	PF07993
67	PF02321
68	PF02321
69	PF10412
70	PF12615
71	PF02796
72	PF00239
73	PF08483
74	PF01695
75	PF00005
76	PF06276
77	PF04183
78	PF05016
79	PF04014
80	PF02537
81	PF00756
82	PF11806
83	PF05261
84	PF05116
85	PF01258
86	PF07683
87	PF02492
88	PF05857
89	PF07395
90	PF06952
91	PF12602
92	PF04352
93	PF04014
94	PF07178
95	PF13817
96	PF03050
97	PF13007
98	PF13005
99	PF06291
100	PF01850
101	PF13523
102	PF00665
103	PF04193
104	PF07916
105	PF01402
106	PF13728
107	PF13434
108	PF13995
109	PF02604
110	PF03743
111	PF00929
112	PF02387
113	PF05513
114	PF03230
115	PF06290
116	PF07690
117	PF01527
118	PF01848
119	PF00743
120	PF00561
121	PF11100
122	PF06067
123	PF01850
124	PF06834
125	PF00113
126	PF01464
127	PF13175
128	PF00950
129	PF00589
130	PF12083
131	PF00529
132	PF16576
133	PF00589
134	PF10894
135	PF05818
136	PF01848
137	PF05717
138	PF06986
139	PF05309
140	PF09679
141	PF07296
142	PF13614
143	PF09673
144	PF17438
145	PF00092
146	PF00092
147	PF02321
148	PF02321
149	PF00149
150	PF07732
151	PF07731
152	PF00394
153	PF13750
154	PF12245
155	PF13737
156	PF13737
157	PF00512
158	PF02518
159	PF04945
160	PF00122
161	PF00702
162	PF03743
163	PF01051
164	PF15617
165	PF00118
166	PF07728
167	PF00872
168	PF00166
169	PF05321
170	PF00072
171	PF00486
172	PF01848
173	PF09676
174	PF01343
175	PF01381
176	PF13728
177	PF02086
178	PF07690
179	PF00565
180	PF13708
181	PF00440
182	PF02909
183	PF05175
184	PF01323
185	PF00873
186	PF08722
187	PF15632
188	PF00069
189	PF13098
190	PF10411
191	PF00486
192	PF00072
193	PF00589
194	PF00512
195	PF02518
196	PF00145
197	PF00239
198	PF02796
199	PF02342
200	PF10138
201	PF08378
202	PF13737
203	PF12500
204	PF15609
205	PF13401
206	PF07178
207	PF00092
208	PF00589
209	PF13495
210	PF00893
211	PF02342
212	PF05175
213	PF13708
214	PF05099
215	PF13175
216	PF13610
217	PF13610
218	PF13610
219	PF01507
220	PF02342
221	PF14319
222	PF04986
223	PF12245
224	PF13750
225	PF13614
226	PF16576
227	PF01909
228	PF13427
229	PF06666
230	PF03050
231	PF13005
232	PF13007
233	PF13817
234	PF11348
235	PF03741
236	PF00809
237	PF13391
238	PF13700
239	PF01526
240	PF13361
241	PF13245
242	PF13362
243	PF08775
244	PF02195
245	PF05309
246	PF00717
247	PF01609
248	PF05598
249	PF03713
250	PF07916
251	PF07916
252	PF11130
253	PF05717
254	PF11604
255	PF13610
256	PF00092
257	PF15616
258	PF06406
259	PF05015
260	PF02342
261	PF06122
262	PF12846
263	PF10412
264	PF01527
265	PF06834
266	PF00817
267	PF13438
268	PF11799
269	PF04234
270	PF09673
271	PF08536
272	PF06117
273	PF14020
274	PF14338
275	PF01555
276	PF01551
277	PF02342
278	PF01464
279	PF02342
280	PF00583
281	PF02522
282	PF11666
283	PF04214
284	PF11202
285	PF15608
286	PF10881
287	PF15978
288	PF06527
289	PF13672
290	PF05472
291	PF01051
292	PF05425
293	PF07804
294	PF13657
295	PF01381
296	PF13750
297	PF12245
298	PF06986
299	PF06986
300	PF10502
301	PF06586
302	PF14348
303	PF07514
304	PF11284
305	PF00589
306	PF05275
307	PF00106
308	PF02739
309	PF01367
310	PF00873
311	PF00575
312	PF00575
313	PF00575
314	PF00575
315	PF00575
316	PF00575
317	PF02049
318	PF00392
319	PF00155
320	PF02894
321	PF01408
322	PF02775
323	PF00205
324	PF02776
325	PF00015
326	PF02203
327	PF00672
328	PF02844
329	PF01071
330	PF02843
331	PF08719
332	PF00108
333	PF02803
334	PF03613
335	PF13375
336	PF01512
337	PF10531
338	PF12838
339	PF04993
340	PF04994
341	PF13500
342	PF01019
343	PF01103
344	PF07244
345	PF07244
346	PF07244
347	PF07244
348	PF02080
349	PF00999
350	PF03471
351	PF05866
352	PF13806
353	PF13353
354	PF04055
355	PF07730
356	PF00672
357	PF02518
358	PF13675
359	PF08245
360	PF02875
361	PF06288
362	PF01820
363	PF07478
364	PF00563
365	PF00990
366	PF17154
367	PF00037
368	PF13247
369	PF07694
370	PF06580
371	PF01523
372	PF00005
373	PF07977
374	PF03958
375	PF00263
376	PF00117
377	PF01408
378	PF00126
379	PF03466
380	PF00593
381	PF07715
382	PF01613
383	PF01136
384	PF12392
385	PF00330
386	PF02302
387	PF01478
388	PF01467
389	PF01926
390	PF03572
391	PF00595
392	PF11818
393	PF00529
394	PF16576
395	PF00703
396	PF16353
397	PF02837
398	PF02836
399	PF02929
400	PF08352
401	PF00005
402	PF12833
403	PF02311
404	PF01494
405	PF00528
406	PF01556
407	PF00226
408	PF01040
409	PF00313
410	PF03591
411	PF04216
412	PF03466
413	PF00126
414	PF03948
415	PF01281
416	PF00589
417	PF13356
418	PF00753
419	PF02091
420	PF03710
421	PF03710
422	PF08335
423	PF08335
424	PF11924
425	PF02369
426	PF02369
427	PF02369
428	PF09134
429	PF09134
430	PF09134
431	PF09134
432	PF09134
433	PF13710
434	PF00875
435	PF03441
436	PF00175
437	PF00970
438	PF05239
439	PF01782
440	PF06450
441	PF00710
442	PF12833
443	PF02311
444	PF12833
445	PF07730
446	PF05231
447	PF02518
448	PF00474
449	PF00561
450	PF00155
451	PF00196
452	PF00072
453	PF01026
454	PF13412
455	PF01037
456	PF02421
457	PF07670
458	PF07670
459	PF07664
460	PF08442
461	PF00549
462	PF00171
463	PF01515
464	PF04542
465	PF04545
466	PF06719
467	PF12833
468	PF00202
469	PF00126
470	PF03466
471	PF05491
472	PF05496
473	PF01520
474	PF11741
475	PF01144
476	PF02861
477	PF02861
478	PF00004
479	PF07724
480	PF10431
481	PF00582
482	PF02954
483	PF00072
484	PF00158
485	PF03603
486	PF00468
487	PF16177
488	PF00501
489	PF13193
490	PF00293
491	PF09297
492	PF03466
493	PF00126
494	PF00126
495	PF03466
496	PF04461
497	PF04073
498	PF01926
499	PF10688
500	PF00132
501	PF05036
502	PF07690
503	PF00324
504	PF02597
505	PF13377
506	PF00356
507	PF02518
508	PF00512
509	PF02787
510	PF02142
511	PF02786
512	PF02786
513	PF00005
514	PF09383
515	PF02782
516	PF01261
517	PF00126
518	PF03466
519	PF08402
520	PF00005
521	PF00126
522	PF03466
523	PF03720
524	PF00984
525	PF03721
526	PF03502
527	PF00005
528	PF00005
529	PF00346
530	PF00329
531	PF02416
532	PF00881
533	PF00463
534	PF00463
535	PF12528
536	PF07963
537	PF02615
538	PF01741
539	PF08279
540	PF00874
541	PF00874
542	PF05043
543	PF00478
544	PF00122
545	PF00403
546	PF00702
547	PF14559
548	PF01435
549	PF02789
550	PF00883
551	PF07969
552	PF02775
553	PF02776
554	PF00205
555	PF02742
556	PF01325
557	PF13378
558	PF07690
559	PF00072
560	PF02518
561	PF00989
562	PF01627
563	PF00512
564	PF02110
565	PF01116
566	PF01204
567	PF02771
568	PF00441
569	PF09317
570	PF02770
571	PF00391
572	PF01326
573	PF02896
574	PF00350
575	PF17399
576	PF00496
577	PF01791
578	PF13353
579	PF04055
580	PF03466
581	PF00126
582	PF04860
583	PF00941
584	PF03450
585	PF01131
586	PF01396
587	PF01396
588	PF08272
589	PF08272
590	PF01751
591	PF02518
592	PF09984
593	PF00512
594	PF01627
595	PF00072
596	PF05136
597	PF00480
598	PF03486
599	PF00132
600	PF06426
601	PF00990
602	PF13426
603	PF13426
604	PF00563
605	PF12850
606	PF03824
607	PF06026
608	PF09588
609	PF00908
610	PF00986
611	PF02518
612	PF00204
613	PF01751
614	PF13899
615	PF11412
616	PF02683
617	PF13561
618	PF02901
619	PF01228
620	PF13237
621	PF12801
622	PF12801
623	PF03502
624	PF00293
625	PF01551
626	PF01476
627	PF03461
628	PF00270
629	PF00271
630	PF02559
631	PF00893
632	PF00091
633	PF12327
634	PF00175
635	PF00258
636	PF00667
637	PF01196
638	PF02565
639	PF11967
640	PF09223
641	PF00271
642	PF00270
643	PF01411
644	PF07973
645	PF02272
646	PF02867
647	PF00317
648	PF03477
649	PF00126
650	PF03466
651	PF00709
652	PF02687
653	PF12704
654	PF00005
655	PF05358
656	PF00227
657	PF01695
658	PF00577
659	PF13954
660	PF13953
661	PF01979
662	PF13580
663	PF05193
664	PF05193
665	PF00675
666	PF01245
667	PF13673
668	PF04166
669	PF04539
670	PF04545
671	PF04542
672	PF06007
673	PF00571
674	PF03471
675	PF01595
676	PF00149
677	PF02872
678	PF03454
679	PF03453
680	PF00994
681	PF00230
682	PF00300
683	PF04317
684	PF01612
685	PF02739
686	PF00476
687	PF01367
688	PF00267
689	PF01381
690	PF00717
691	PF00691
692	PF03636
693	PF03633
694	PF03632
695	PF00873
696	PF00406
697	PF05191
698	PF00959
699	PF03061
700	PF05025
701	PF00254
702	PF05697
703	PF05698
704	PF13940
705	PF02413
706	PF13328
707	PF02824
708	PF13291
709	PF04607
710	PF14689
711	PF17203
712	PF02518
713	PF00989
714	PF08328
715	PF00206
716	PF04965
717	PF13730
718	PF03575
719	PF01592
720	PF00959
721	PF00107
722	PF08240
723	PF00575
724	PF10150
725	PF00725
726	PF00725
727	PF00378
728	PF02737
729	PF00892
730	PF00892
731	PF01077
732	PF03460
733	PF07992
734	PF04324
735	PF02746
736	PF13378
737	PF02661
738	PF13956
739	PF00158
740	PF01590
741	PF06857
742	PF00043
743	PF13417
744	PF17152
745	PF00990
746	PF02654
747	PF13537
748	PF00733
749	PF01381
750	PF00717
751	PF16363
752	PF14842
753	PF01706
754	PF14841
755	PF13954
756	PF13953
757	PF00577
758	PF01058
759	PF08544
760	PF00288
761	PF00575
762	PF00773
763	PF08206
764	PF00006
765	PF13365
