Feature	Pfam
0	PF02926
1	PF02568
2	PF12804
3	PF13328
4	PF02824
5	PF13291
6	PF04607
7	PF00575
8	PF00575
9	PF00575
10	PF00575
11	PF00575
12	PF00575
13	PF05068
14	PF00005
15	PF00005
16	PF12848
17	PF00328
18	PF04055
19	PF06969
20	PF07338
21	PF03109
22	PF01047
23	PF12836
24	PF09371
25	PF00575
26	PF16921
27	PF00293
28	PF09297
29	PF02302
30	PF03797
31	PF02395
32	PF12821
33	PF01590
34	PF00158
35	PF02954
36	PF16576
37	PF00403
38	PF00403
39	PF00122
40	PF00702
41	PF01263
42	PF00330
43	PF06434
44	PF11791
45	PF06715
46	PF05954
47	PF07317
48	PF07238
49	PF04355
50	PF00668
51	PF00668
52	PF00550
53	PF00550
54	PF00550
55	PF08242
56	PF00501
57	PF00330
58	PF00694
59	PF01965
60	PF03328
61	PF00005
62	PF00005
63	PF10725
64	PF10414
65	PF13241
66	PF00590
67	PF14824
68	PF00122
69	PF00403
70	PF00702
71	PF03783
72	PF13416
73	PF01926
74	PF10396
75	PF12631
76	PF04361
77	PF07690
78	PF07690
79	PF00330
80	PF02801
81	PF16197
82	PF08659
83	PF00975
84	PF00109
85	PF08242
86	PF08242
87	PF00550
88	PF00550
89	PF00668
90	PF00698
91	PF00146
92	PF07549
93	PF02355
94	PF00348
95	PF03466
96	PF00126
97	PF01037
98	PF13404
99	PF13377
100	PF00356
101	PF02541
102	PF00005
103	PF03009
104	PF00384
105	PF01568
106	PF04879
107	PF03958
108	PF03958
109	PF03958
110	PF00263
111	PF04984
112	PF17482
113	PF00593
114	PF07715
115	PF00370
116	PF02782
117	PF03411
118	PF00364
119	PF02787
120	PF02142
121	PF02786
122	PF02786
123	PF05524
124	PF00391
125	PF02896
126	PF00465
127	PF00294
128	PF13412
129	PF03692
130	PF00456
131	PF02780
132	PF02779
133	PF13520
134	PF00271
135	PF00270
136	PF02978
137	PF00448
138	PF02881
139	PF14559
140	PF05524
141	PF01590
142	PF00391
143	PF02896
144	PF05343
145	PF06415
146	PF01676
147	PF00384
148	PF01568
149	PF04879
150	PF14698
151	PF00206
152	PF07690
153	PF00834
154	PF00126
155	PF03466
156	PF00126
157	PF03466
158	PF00005
159	PF00196
160	PF01435
161	PF14559
162	PF08240
163	PF00107
164	PF06026
165	PF02401
166	PF04403
167	PF04403
168	PF00376
169	PF09278
170	PF00346
171	PF00329
172	PF14805
173	PF14602
174	PF00132
175	PF01455
176	PF11423
177	PF03869
178	PF05400
179	PF07244
180	PF07244
181	PF07244
182	PF07244
183	PF01103
184	PF02348
185	PF00860
186	PF00107
187	PF08240
188	PF00586
189	PF02769
190	PF01546
191	PF07687
192	PF00881
193	PF00137
194	PF03358
195	PF00959
196	PF06303
197	PF17414
198	PF02800
199	PF00044
200	PF11398
201	PF00356
202	PF13377
203	PF00768
204	PF00126
205	PF03466
206	PF00575
207	PF00773
208	PF08206
209	PF00873
210	PF07690
211	PF10662
212	PF00890
213	PF02910
214	PF16973
215	PF01052
216	PF00015
217	PF02203
218	PF00672
219	PF00171
220	PF13247
221	PF09163
222	PF13167
223	PF16360
224	PF01926
225	PF00106
226	PF00445
227	PF00126
228	PF03466
229	PF00486
230	PF00072
231	PF02976
232	PF04307
233	PF02867
234	PF00317
235	PF03477
236	PF09526
237	PF00709
238	PF08364
239	PF11987
240	PF00009
241	PF04760
242	PF04760
243	PF01520
244	PF04115
245	PF00291
246	PF00226
247	PF05099
248	PF07694
249	PF06580
250	PF10431
251	PF00004
252	PF07724
253	PF00440
254	PF03180
255	PF04386
256	PF04355
257	PF00164
258	PF13292
259	PF02779
260	PF02780
261	PF01370
262	PF00392
263	PF07729
264	PF00673
265	PF00281
266	PF07072
267	PF14833
268	PF03446
269	PF01381
270	PF00215
271	PF05193
272	PF05193
273	PF16187
274	PF00675
275	PF01053
276	PF00871
277	PF01274
278	PF08544
279	PF00288
280	PF07694
281	PF02518
282	PF06580
283	PF06998
284	PF00580
285	PF12705
286	PF13361
287	PF01292
288	PF00089
289	PF14503
290	PF14502
291	PF00923
292	PF07969
293	PF03796
294	PF00772
295	PF06154
296	PF00107
297	PF08240
298	PF04728
299	PF02086
300	PF12170
301	PF13177
