ann_term	q_val	annotation
PF00959	7.04593805641545e-09	Phage lysozyme
PF00005	4.48855181794453e-08	ABC transporter
PF03358	1.25764934663491e-07	NADPH-dependent FMN reductase
PF01520	1.29135724898873e-07	N-acetylmuramoyl-L-alanine amidase
PF00857	1.34042385926267e-07	Isochorismatase family
PF04971	6.99036267348592e-07	Bacteriophage P21 holin S
PF05939	6.99036267348592e-07	Phage minor tail protein
PF05521	9.72367676583872e-07	Phage head-tail joining protein
PF03275	1.13841244266017e-06	UDP-galactopyranose mutase
PF04883	1.18714669625822e-06	Bacteriophage HK97-gp10, putative tail-component
PF00072	1.75980624209999e-06	Response regulator receiver domain
PF11367	1.76895246739229e-06	Protein of unknown function (DUF3168)
PF06163	2.36268737716858e-06	Bacterial protein of unknown function (DUF977)
PF01863	2.73589702189374e-06	Protein of unknown function DUF45
PF00202	3.3616524906994e-06	Aminotransferase class-III
PF03245	5.80284889483008e-06	Bacteriophage Rz lysis protein
PF06316	6.14293079331104e-06	Enterobacterial Ail/Lom protein
PF05100	7.19576527578212e-06	Phage minor tail protein L
PF05135	7.40681685597532e-06	Phage gp6-like head-tail connector protein
PF06222	9.89506888810469e-06	Phage tail assembly chaperone
PF04448	1.14396598764058e-05	Protein of unknown function (DUF551)
PF01479	1.19293647783168e-05	S4 domain
PF13227	1.42517532402704e-05	Protein of unknown function (DUF4035)
PF04586	1.73851908640893e-05	Caudovirus prohead serine protease
PF02613	2.08191076636849e-05	Nitrate reductase delta subunit
PF02518	2.08191076636849e-05	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF00589	2.08191076636849e-05	Phage integrase family
PF05065	2.08191076636849e-05	Phage capsid family
PF04313	2.08191076636849e-05	Type I restriction enzyme R protein N terminus (HSDR_N)
PF03734	2.08191076636849e-05	L,D-transpeptidase catalytic domain
PF01061	2.08191076636849e-05	ABC-2 type transporter
PF03354	2.08191076636849e-05	Phage Terminase
PF04346	2.08191076636849e-05	Ethanolamine utilisation protein, EutH
PF06672	2.08191076636849e-05	Protein of unknown function (DUF1175)
PF10754	2.08191076636849e-05	Protein of unknown function (DUF2569)
PF06254	2.08191076636849e-05	Putative bacterial toxin ydaT
PF00009	2.08191076636849e-05	Elongation factor Tu GTP binding domain
PF00849	2.08191076636849e-05	RNA pseudouridylate synthase
PF00881	2.08191076636849e-05	Nitroreductase family
PF14464	2.08191076636849e-05	Prokaryotic homologs of the JAB domain
PF02470	2.08191076636849e-05	MlaD protein
PF05433	2.08191076636849e-05	Glycine zipper 2TM domain
PF13365	2.08191076636849e-05	Trypsin-like peptidase domain
PF13450	2.08191076636849e-05	NAD(P)-binding Rossmann-like domain
PF02600	2.08191076636849e-05	Disulfide bond formation protein DsbB
PF00877	2.08191076636849e-05	NlpC/P60 family
PF00440	2.08191076636849e-05	Bacterial regulatory proteins, tetR family
PF00374	2.08191076636849e-05	Nickel-dependent hydrogenase
PF01297	2.08191076636849e-05	Zinc-uptake complex component A periplasmic
PF12167	2.08191076636849e-05	Arm DNA-binding domain
PF00043	2.08191076636849e-05	Glutathione S-transferase, C-terminal domain
PF09327	2.08191076636849e-05	Domain of unknown function (DUF1983)
PF00044	2.08191076636849e-05	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF05866	2.08191076636849e-05	Endodeoxyribonuclease RusA
PF00994	2.08191076636849e-05	Probable molybdopterin binding domain
PF03989	2.08191076636849e-05	DNA gyrase C-terminal domain, beta-propeller
PF09335	2.08191076636849e-05	SNARE associated Golgi protein
PF12848	2.08191076636849e-05	ABC transporter
PF00512	2.08191076636849e-05	His Kinase A (phospho-acceptor) domain
PF03143	2.08191076636849e-05	Elongation factor Tu C-terminal domain
PF03144	2.08191076636849e-05	Elongation factor Tu domain 2
PF08400	2.08191076636849e-05	Prophage tail fibre N-terminal
PF01381	2.08191076636849e-05	Helix-turn-helix
PF07690	2.08191076636849e-05	Major Facilitator Superfamily
PF00288	2.08191076636849e-05	GHMP kinases N terminal domain
PF02774	2.08191076636849e-05	Semialdehyde dehydrogenase, dimerisation domain
PF03600	2.08191076636849e-05	Citrate transporter
PF05957	2.08191076636849e-05	Bacterial protein of unknown function (DUF883)
PF08264	2.08191076636849e-05	Anticodon-binding domain of tRNA
PF08544	2.08191076636849e-05	GHMP kinases C terminal
PF03264	2.08191076636849e-05	NapC/NirT cytochrome c family, N-terminal region
PF15943	2.08191076636849e-05	Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT
PF13102	2.08191076636849e-05	Phage integrase SAM-like domain
PF00892	2.08191076636849e-05	EamA-like transporter family
PF00924	2.08191076636849e-05	Mechanosensitive ion channel
PF13935	2.08191076636849e-05	Ead/Ea22-like protein
PF04984	2.08191076636849e-05	Phage tail sheath protein subtilisin-like domain
PF17482	2.08191076636849e-05	Phage tail sheath C-terminal domain
PF00449	2.08191076636849e-05	Urease alpha-subunit, N-terminal domain
PF00547	2.08191076636849e-05	Urease, gamma subunit
PF00699	2.08191076636849e-05	Urease beta subunit
PF01730	2.08191076636849e-05	UreF
PF02814	2.08191076636849e-05	UreE urease accessory protein, N-terminal domain
PF05194	2.08191076636849e-05	UreE urease accessory protein, C-terminal domain
PF11975	2.08191076636849e-05	Family 4 glycosyl hydrolase C-terminal domain
PF04261	2.08191076636849e-05	Dyp-type peroxidase family
PF16576	2.08191076636849e-05	Barrel-sandwich domain of CusB or HlyD membrane-fusion
PF00126	2.08191076636849e-05	Bacterial regulatory helix-turn-helix protein, lysR family
PF06147	2.08191076636849e-05	Protein of unknown function (DUF968)
PF00575	2.08191076636849e-05	S1 RNA binding domain
PF09669	2.08191076636849e-05	Phage regulatory protein Rha (Phage_pRha)
PF10548	2.08191076636849e-05	P22AR C-terminal domain
PF01750	2.08191076636849e-05	Hydrogenase maturation protease
PF15958	2.08191076636849e-05	Domain of unknown function (DUF4761)
PF04972	2.08191076636849e-05	BON domain
PF01654	2.08191076636849e-05	Cytochrome bd terminal oxidase subunit I
PF04860	2.08191076636849e-05	Phage portal protein
PF08410	2.08191076636849e-05	Domain of unknown function (DUF1737)
