ann_term	q_val	annotation
PF09296	0.999359870220691	NADH pyrophosphatase-like rudimentary NUDIX domain
PF02041	0.999359870220691	Auxin binding protein
PF09253	0.998765671054166	Pollen allergen Ole e 6
PF09138	0.998765671054166	Urm1 (Ubiquitin related modifier)
PF03330	0.997940468570328	Lytic transglycolase
PF18055	0.997940468570328	26S proteasome regulatory subunit RPN6 N-terminal domain
PF06880	0.997940468570328	Protein of unknown function (DUF1262)
PF00130	0.997940468570328	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF11712	0.997691938671965	Endoplasmic reticulum-based factor for assembly of V-ATPase
PF12174	0.997674155644235	RCD1-SRO-TAF4 (RST) plant domain
PF05188	0.997674155644235	MutS domain II
PF18829	0.99749632203318	Importin repeat 6
PF03704	0.99726987568349	Bacterial transcriptional activator domain
PF04112	0.99726987568349	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase
PF06026	0.99726987568349	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF13964	0.996815863742798	Kelch motif
PF11069	0.996250639285523	Cilia- and flagella-associated protein 298
PF05277	0.996250639285523	Protein of unknown function (DUF726)
PF02496	0.996100276997081	ABA/WDS induced protein
PF00177	0.996100276997081	Ribosomal protein S7p/S5e
PF14929	0.995846840376858	TAF RNA Polymerase I subunit A
PF05208	0.995645718338809	ALG3 protein
PF05093	0.995645718338809	Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis
PF08243	0.995645718338809	SPT2 chromatin protein
PF01432	0.995645718338809	Peptidase family M3
PF13901	0.995178100030653	Putative zinc-RING and/or ribbon
PF16686	0.995102810979007	ssDNA-binding domain of telomere protection protein
PF19112	0.995102810979007	Vanillate O-demethylase oxygenase C-terminal domain
PF09346	0.995102810979007	SMI1 / KNR4 family (SUKH-1)
PF00425	0.995096022105011	chorismate binding enzyme
PF12861	0.995096022105011	Anaphase-promoting complex subunit 11 RING-H2 finger
PF07795	0.995044688889665	Protein of unknown function (DUF1635)
PF14806	0.995044688889665	Coatomer beta subunit appendage platform
PF01182	0.995044688889665	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF00766	0.994963932597167	Electron transfer flavoprotein FAD-binding domain
PF04031	0.994963932597167	Las1-like
PF02779	0.994963932597167	Transketolase, pyrimidine binding domain
PF02527	0.994963932597167	rRNA small subunit methyltransferase G
PF11945	0.994963932597167	WAHD domain of WASH complex
PF06920	0.994963932597167	Dock homology region 2
PF08542	0.994963932597167	Replication factor C C-terminal domain
PF01557	0.994963932597167	Fumarylacetoacetate (FAA) hydrolase family
PF00120	0.994963932597167	Glutamine synthetase, catalytic domain
PF04931	0.994963932597167	DNA polymerase phi
PF13578	0.994963932597167	Methyltransferase domain
PF01920	0.994963932597167	Prefoldin subunit
PF00089	0.994963932597167	Trypsin
PF06046	0.994963932597167	Exocyst complex component Sec6
PF11255	0.994963932597167	Protein of unknown function (DUF3054)
PF06102	0.994963932597167	rRNA biogenesis protein RRP36
PF06320	0.994963932597167	GCN5-like protein 1 (GCN5L1)
PF01090	0.994963932597167	Ribosomal protein S19e
PF03071	0.994749137818862	GNT-I family
PF08642	0.994749137818862	Histone deacetylation protein Rxt3
PF09341	0.994749137818862	Transcription factor Pcc1
PF01808	0.994749137818862	AICARFT/IMPCHase bienzyme
PF02803	0.993491844190601	Thiolase, C-terminal domain
PF01042	0.993491844190601	Endoribonuclease L-PSP
PF14705	0.993491844190601	Costars
PF00810	0.993491844190601	ER lumen protein retaining receptor
PF06258	0.993405195371119	Mitochondrial fission ELM1
PF07977	0.993121462007342	FabA-like domain
PF02792	0.993121462007342	Mago nashi protein
PF17172	0.993021420974497	Glutathione S-transferase N-terminal domain
PF13326	0.993021420974497	Photosystem II Pbs27
PF02770	0.993021420974497	Acyl-CoA dehydrogenase, middle domain
PF03764	0.993021420974497	Elongation factor G, domain IV
PF06984	0.992894737171303	Mitochondrial 39-S ribosomal protein L47 (MRP-L47)
PF01780	0.992818961438538	Ribosomal L37ae protein family
PF06858	0.992363531138675	Nucleolar GTP-binding protein 1 (NOG1)
PF14700	0.992124025049542	DNA-directed RNA polymerase N-terminal
PF02893	0.992124025049542	GRAM domain
PF04133	0.992101845072129	Vacuolar protein sorting 55
PF01454	0.992101845072129	MAGE family
PF08590	0.992008524015951	Domain of unknown function (DUF1771)
PF11605	0.991070848640762	Vacuolar protein sorting protein 36 Vps36
PF00916	0.991070848640762	Sulfate permease family
PF12215	0.991070848640762	beta-glucosidase 2, glycosyl-hydrolase family 116 N-term
PF10502	0.991070848640762	Signal peptidase, peptidase S26
PF03224	0.990888597490708	V-ATPase subunit H
PF00378	0.990888597490708	Enoyl-CoA hydratase/isomerase
PF03878	0.990581633103192	YIF1
PF00687	0.988963919666788	Ribosomal protein L1p/L10e family
PF03345	0.988963919666788	Oligosaccharyltransferase 48 kDa subunit beta
PF00137	0.988956001712568	ATP synthase subunit C
PF00627	0.988846321008511	UBA/TS-N domain
PF08389	0.988846321008511	Exportin 1-like protein
PF06886	0.988193587407502	Targeting protein for Xklp2 (TPX2) domain
PF10475	0.988138336533505	Vacuolar-sorting protein 54, of GARP complex
PF00444	0.988138336533505	Ribosomal protein L36
PF00018	0.988138336533505	SH3 domain
PF04702	0.987910565890775	Vicilin N terminal region
PF10537	0.98719163916005	ATP-utilising chromatin assembly and remodelling N-terminal
