Feature	Pfam
0	PF02569
1	PF03544
2	PF03544
3	PF09864
4	PF00535
5	PF11045
6	PF13407
7	PF04076
8	PF00664
9	PF00005
10	PF13392
11	PF02753
12	PF00345
13	PF00486
14	PF00072
15	PF01979
16	PF02903
17	PF00128
18	PF01914
19	PF06995
20	PF02826
21	PF01842
22	PF00389
23	PF05135
24	PF01521
25	PF00158
26	PF02954
27	PF00072
28	PF05930
29	PF00813
30	PF01695
31	PF00890
32	PF00596
33	PF01040
34	PF05354
35	PF05354
36	PF12833
37	PF02311
38	PF05231
39	PF08448
40	PF00563
41	PF00990
42	PF13426
43	PF08447
44	PF06004
45	PF00702
46	PF00122
47	PF00403
48	PF00381
49	PF10554
50	PF02779
51	PF00676
52	PF16870
53	PF16078
54	PF10437
55	PF03099
56	PF00989
57	PF00072
58	PF00512
59	PF02518
60	PF01627
61	PF01032
62	PF08443
63	PF02492
64	PF07683
65	PF00356
66	PF00532
67	PF13005
68	PF03050
69	PF13817
70	PF13007
71	PF00072
72	PF00486
73	PF17157
74	PF00563
75	PF00990
76	PF10692
77	PF02371
78	PF01548
79	PF02371
80	PF01548
81	PF02371
82	PF01548
83	PF02371
84	PF01548
85	PF02371
86	PF01548
87	PF02371
88	PF01548
89	PF02371
90	PF01548
91	PF02371
92	PF01548
93	PF02371
94	PF01548
95	PF02371
96	PF01548
97	PF02371
98	PF01548
99	PF07883
100	PF12833
101	PF00206
102	PF14698
103	PF06316
104	PF06316
105	PF00532
106	PF01520
107	PF00491
108	PF07833
109	PF02728
110	PF01179
111	PF02727
112	PF06416
113	PF00137
114	PF02875
115	PF01225
116	PF08245
117	PF00359
118	PF00909
119	PF00005
120	PF07720
121	PF00126
122	PF03466
123	PF14691
124	PF07992
125	PF00573
126	PF05696
127	PF05696
128	PF04085
129	PF01142
130	PF01142
131	PF00313
132	PF01455
133	PF16473
134	PF03099
135	PF00005
136	PF12857
137	PF00730
138	PF06029
139	PF07063
140	PF05656
141	PF00005
142	PF00496
143	PF02302
144	PF07471
145	PF00535
146	PF00345
147	PF03466
148	PF00126
149	PF13090
150	PF02503
151	PF13089
152	PF02880
153	PF02879
154	PF02878
155	PF00408
156	PF00111
157	PF12697
158	PF02874
159	PF00006
160	PF00306
161	PF00563
162	PF12792
163	PF00579
164	PF01323
165	PF00589
166	PF12167
167	PF03734
168	PF02690
169	PF00924
170	PF05552
171	PF03109
172	PF01842
173	PF04333
174	PF16973
175	PF01052
176	PF01256
177	PF03853
178	PF00696
179	PF00583
180	PF00486
181	PF00072
182	PF04760
183	PF04760
184	PF08364
185	PF11987
186	PF00009
187	PF01435
188	PF01555
189	PF02357
190	PF01058
191	PF01019
192	PF06316
193	PF06316
194	PF01266
195	PF00708
196	PF16358
197	PF13801
198	PF01476
199	PF01476
200	PF01464
201	PF00205
202	PF02776
203	PF02775
204	PF01564
205	PF17284
206	PF09290
207	PF01118
208	PF13356
209	PF00589
210	PF01642
211	PF02310
212	PF01232
213	PF08125
214	PF05222
215	PF12769
216	PF01262
217	PF02541
218	PF13973
219	PF12801
220	PF12801
221	PF00903
222	PF05690
223	PF01799
224	PF00111
225	PF10930
226	PF13360
227	PF05193
228	PF05193
229	PF00675
230	PF16187
231	PF13247
232	PF09163
233	PF03144
234	PF00009
235	PF03143
236	PF00990
237	PF17151
238	PF00512
239	PF00072
240	PF01627
241	PF02518
242	PF00497
243	PF00497
244	PF00367
245	PF02378
246	PF03446
247	PF00393
248	PF13533
249	PF13437
250	PF01297
251	PF13377
252	PF00356
253	PF15943
254	PF00497
255	PF06316
256	PF13419
257	PF13823
258	PF08240
259	PF00107
260	PF09312
261	PF00639
262	PF13616
263	PF03786
264	PF13419
265	PF02602
266	PF13437
267	PF13533
268	PF00486
269	PF00072
270	PF02080
271	PF00999
272	PF03471
273	PF01227
274	PF17128
275	PF13432
276	PF13432
277	PF07848
278	PF08223
279	PF02954
280	PF00158
281	PF00111
282	PF00970
283	PF00175
284	PF08240
285	PF00107
286	PF00186
287	PF03724
288	PF00497
289	PF09344
290	PF01527
291	PF07789
292	PF00596
293	PF13817
294	PF13005
295	PF03050
296	PF13007
297	PF13817
298	PF13005
299	PF03050
300	PF13007
301	PF13817
302	PF13005
303	PF03050
304	PF13007
305	PF13817
306	PF13005
307	PF03050
308	PF13007
309	PF13817
310	PF13005
311	PF03050
312	PF13007
