Feature	Pfam
0	PF02080
1	PF00999
2	PF03471
3	PF00924
4	PF12795
5	PF12794
6	PF00890
7	PF02910
8	PF09984
9	PF00512
10	PF02518
11	PF01627
12	PF00072
13	PF07702
14	PF00392
15	PF01751
16	PF01131
17	PF00185
18	PF02729
19	PF00215
20	PF01979
21	PF02798
22	PF00043
23	PF00005
24	PF02222
25	PF05406
26	PF13980
27	PF13356
28	PF00589
29	PF00334
30	PF03205
31	PF01300
32	PF07503
33	PF07503
34	PF00708
35	PF01494
36	PF10840
37	PF07906
38	PF00313
39	PF01668
40	PF08245
41	PF02875
42	PF00419
43	PF03606
44	PF00497
45	PF00196
46	PF00145
47	PF02852
48	PF07992
49	PF03462
50	PF00472
51	PF02951
52	PF02955
53	PF01590
54	PF00158
55	PF01330
56	PF14520
57	PF07499
58	PF00374
59	PF12848
60	PF00005
61	PF00005
62	PF00528
63	PF07237
64	PF03471
65	PF01595
66	PF00571
67	PF14450
68	PF02491
69	PF00817
70	PF11799
71	PF11798
72	PF13438
73	PF02541
74	PF00392
75	PF07729
76	PF05962
77	PF07992
78	PF14691
79	PF02742
80	PF01325
81	PF17158
82	PF00990
83	PF00308
84	PF08299
85	PF11638
86	PF00119
87	PF06558
88	PF03147
89	PF03483
90	PF03484
91	PF01588
92	PF05025
93	PF13720
94	PF00132
95	PF00132
96	PF00009
97	PF00679
98	PF03144
99	PF14492
100	PF03764
101	PF08461
102	PF00773
103	PF08206
104	PF08206
105	PF00575
106	PF02772
107	PF02773
108	PF00438
109	PF00990
110	PF11563
111	PF13561
112	PF03120
113	PF01653
114	PF01180
115	PF00521
116	PF03989
117	PF03989
118	PF01527
119	PF13276
120	PF00665
121	PF00293
122	PF01204
123	PF02348
124	PF00293
125	PF03212
126	PF03797
127	PF02767
128	PF02768
129	PF00712
130	PF00890
131	PF02910
132	PF00375
133	PF00316
134	PF16177
135	PF00501
136	PF13193
137	PF12833
138	PF02311
139	PF07836
140	PF00682
141	PF00550
142	PF00668
143	PF00501
144	PF13193
145	PF00975
146	PF01266
147	PF00528
148	PF03544
149	PF16031
150	PF00962
151	PF01297
152	PF03315
153	PF03313
154	PF01420
155	PF01420
156	PF00158
157	PF00989
158	PF02954
159	PF10945
160	PF01121
161	PF01479
162	PF00849
163	PF01226
164	PF00113
165	PF03952
166	PF01380
167	PF03629
168	PF00005
169	PF02687
170	PF12704
171	PF05690
172	PF00512
173	PF01627
174	PF00497
175	PF00497
176	PF02518
177	PF00072
178	PF03461
179	PF00270
180	PF00271
181	PF02559
182	PF10431
183	PF00004
184	PF07724
185	PF02861
186	PF00593
187	PF07715
188	PF04205
189	PF08125
190	PF01232
191	PF13458
192	PF14502
193	PF14503
194	PF01131
195	PF01396
196	PF01396
197	PF08272
198	PF08272
199	PF01751
200	PF12800
201	PF13247
202	PF09163
203	PF14691
204	PF07992
205	PF13247
206	PF01784
207	PF08946
208	PF00083
209	PF12431
210	PF00072
211	PF00044
212	PF00232
213	PF13419
214	PF00181
215	PF03947
216	PF01195
217	PF00005
218	PF12857
219	PF00486
220	PF00072
221	PF02545
222	PF00571
223	PF01380
224	PF00005
225	PF08402
226	PF08218
227	PF06545
228	PF00158
229	PF00072
230	PF02954
231	PF12697
232	PF00160
233	PF01343
234	PF08496
235	PF04012
236	PF00484
237	PF03144
238	PF00009
239	PF03143
240	PF08448
241	PF00990
242	PF12710
243	PF02195
244	PF01694
245	PF12122
246	PF02302
247	PF04313
248	PF04851
249	PF02881
250	PF00448
251	PF01027
252	PF01527
253	PF00465
254	PF00893
255	PF16576
256	PF00529
257	PF13186
258	PF04055
259	PF13353
260	PF02518
261	PF00672
262	PF00512
263	PF07703
264	PF00207
265	PF01835
266	PF15731
267	PF01592
