Feature	Pfam
0	PF01051
1	PF00436
2	PF12693
3	PF05134
4	PF00437
5	PF01047
6	PF00565
7	PF03279
8	PF07361
9	PF12918
10	PF12919
11	PF11996
12	PF03400
13	PF00482
14	PF00482
15	PF13437
16	PF02395
17	PF03797
18	PF13018
19	PF02382
20	PF08339
21	PF00353
22	PF00353
23	PF00353
24	PF00353
25	PF00353
26	PF00353
27	PF11740
28	PF06924
29	PF07963
30	PF11612
31	PF02195
32	PF02195
33	PF06952
34	PF07963
35	PF08334
36	PF00141
37	PF00141
38	PF10462
39	PF01478
40	PF06750
41	PF00263
42	PF03958
43	PF03958
44	PF03958
45	PF00884
46	PF00589
47	PF10723
48	PF00589
49	PF06006
50	PF01527
51	PF01695
52	PF03230
53	PF01522
54	PF03412
55	PF00664
56	PF00005
57	PF04612
58	PF01845
59	PF11356
60	PF00534
61	PF13439
62	PF02387
63	PF12083
64	PF13276
65	PF00665
66	PF01695
67	PF01848
68	PF12602
69	PF04352
70	PF05857
71	PF07128
72	PF01555
73	PF05175
74	PF02501
75	PF03934
76	PF05321
77	PF06290
78	PF13614
79	PF06519
80	PF07362
81	PF05016
82	PF01051
83	PF07128
84	PF00561
85	PF01402
86	PF02794
87	PF09691
88	PF08048
89	PF07339
90	PF03135
91	PF01051
92	PF01464
93	PF07996
94	PF01656
95	PF03895
96	PF00437
97	PF07927
98	PF03743
99	PF01131
100	PF01751
101	PF13342
102	PF15919
103	PF04335
104	PF02534
105	PF00589
106	PF03524
107	PF07424
108	PF05101
109	PF04610
110	PF04107
111	PF00005
112	PF00528
113	PF12911
114	PF00270
115	PF06733
116	PF13307
117	PF02357
118	PF00596
119	PF01043
120	PF07517
121	PF02810
122	PF07516
123	PF00478
124	PF01263
125	PF12833
126	PF01965
127	PF01979
128	PF10707
129	PF16967
130	PF15976
131	PF10636
132	PF05036
133	PF10725
134	PF00512
135	PF00672
136	PF02518
137	PF00465
138	PF02660
139	PF00202
140	PF14819
141	PF14489
142	PF09369
143	PF00270
144	PF00271
145	PF00005
146	PF12833
147	PF01266
148	PF00701
149	PF00072
150	PF00486
151	PF07687
152	PF01546
153	PF00561
154	PF12833
155	PF12852
156	PF02036
157	PF10369
158	PF13710
159	PF01493
160	PF00310
161	PF04898
162	PF01645
163	PF00857
164	PF03471
165	PF03741
166	PF03466
167	PF00126
168	PF02357
169	PF00467
170	PF05280
171	PF00013
172	PF01138
173	PF01138
174	PF03725
175	PF03725
176	PF00575
177	PF03726
178	PF02613
179	PF00275
180	PF00528
181	PF00528
182	PF13740
183	PF01842
184	PF00532
185	PF03061
186	PF00919
187	PF01938
188	PF04055
189	PF00297
190	PF04402
191	PF00532
192	PF00356
193	PF01177
194	PF13538
195	PF13604
196	PF03466
197	PF00126
198	PF03709
199	PF01276
200	PF03711
201	PF03486
202	PF04752
203	PF07813
204	PF02773
205	PF02772
206	PF00438
207	PF02574
208	PF02965
209	PF02310
210	PF02607
211	PF00809
212	PF00586
213	PF02769
214	PF03695
215	PF01810
216	PF00175
217	PF00970
218	PF00111
219	PF05591
220	PF01430
221	PF00009
222	PF16658
223	PF03144
224	PF13186
225	PF13353
226	PF04055
227	PF16199
228	PF04055
229	PF00920
230	PF04413
231	PF00534
232	PF10371
233	PF02775
234	PF17147
235	PF01855
236	PF13484
237	PF01558
238	PF16576
239	PF00106
240	PF06519
241	PF13193
242	PF16177
243	PF00501
244	PF05802
245	PF01035
246	PF02870
247	PF12833
248	PF02805
249	PF02657
250	PF00892
251	PF00892
252	PF13275
253	PF00330
254	PF06434
255	PF11791
256	PF13328
257	PF13291
258	PF02824
259	PF04607
260	PF00999
261	PF00581
262	PF00581
263	PF13419
264	PF00224
265	PF02887
266	PF13365
267	PF13180
268	PF03652
269	PF00583
270	PF00696
271	PF01636
272	PF13411
273	PF02629
274	PF00549
275	PF02678
276	PF12833
277	PF01026
278	PF00072
279	PF00486
280	PF02518
281	PF00512
282	PF00528
283	PF00271
284	PF00270
285	PF00809
286	PF01520
287	PF00359
288	PF00381
289	PF16358
290	PF00210
291	PF12146
292	PF02875
293	PF08245
294	PF14833
295	PF03446
296	PF12724
297	PF07037
298	PF08352
299	PF08352
300	PF00005
301	PF00005
302	PF00465
303	PF02447
304	PF01098
305	PF07690
306	PF00419
307	PF00072
308	PF00196
309	PF13098
310	PF01012
311	PF00766
312	PF00816
313	PF04074
314	PF02541
315	PF00696
316	PF01381
317	PF00154
318	PF13954
319	PF00577
320	PF13953
321	PF01255
322	PF02254
323	PF00999
324	PF03610
325	PF01032
326	PF00764
327	PF00455
328	PF08220
329	PF00551
330	PF00664
331	PF00005
332	PF00356
333	PF13377
334	PF13416
335	PF13407
336	PF07977
337	PF02646
338	PF00313
339	PF00248
340	PF00535
341	PF16449
342	PF16473
343	PF00419
344	PF13018
345	PF03797
346	PF00528
347	PF07676
348	PF07676
349	PF07676
350	PF07676
351	PF04052
352	PF00133
353	PF00133
354	PF00133
355	PF08264
356	PF13603
357	PF00248
358	PF11604
359	PF01266
360	PF04760
361	PF04760
362	PF08364
363	PF11987
364	PF00009
365	PF02096
366	PF14849
367	PF05157
368	PF13632
369	PF13723
370	PF00582
371	PF03825
372	PF00226
373	PF05099
374	PF02779
375	PF00456
376	PF02780
377	PF03605
378	PF00158
379	PF02954
380	PF01590
381	PF00475
382	PF08645
383	PF12838
384	PF13410
385	PF13409
386	PF14681
387	PF00994
388	PF17414
389	PF06303
390	PF12833
391	PF02311
392	PF02706
393	PF05400
394	PF01507
395	PF17384
396	PF02576
397	PF13023
398	PF01791
399	PF02597
400	PF13802
401	PF01055
402	PF00512
403	PF02518
404	PF07690
405	PF11924
406	PF09134
407	PF09134
408	PF02369
409	PF02369
410	PF02369
411	PF02369
412	PF02369
413	PF02369
414	PF02369
415	PF00126
416	PF03466
417	PF03806
418	PF01979
419	PF13382
420	PF00117
421	PF06418
422	PF12790
423	PF04715
424	PF00425
425	PF13533
426	PF13437
427	PF00411
428	PF16925
429	PF00440
430	PF14711
431	PF13247
432	PF00005
433	PF12857
434	PF03372
435	PF00444
436	PF07338
437	PF00005
438	PF09383
439	PF12911
440	PF00528
441	PF11940
442	PF17432
443	PF01433
444	PF03575
445	PF14720
446	PF01058
447	PF00903
448	PF00849
